TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210402210935,3,1702539.637836,2,0,2,0,0,1,0,3,0,5,0,4
20210402210935,4,378342.141741,2,6,2,6,0,1,0,3,0,5,0,4
20210402210935,5,33861621.685842,2,6,2,6,0,1,0,3,0,5,0,4
20210402211067,7,4062794.184633,4,4,1,5,5,3,5,1,5,5,6,2
20210402211067,8,20894370.092399,4,4,1,4,5,3,4,1,4,5,6,2
20210402211067,10,27278760.953966,4,4,1,5,5,3,3,1,5,5,6,2
20210402211161,3,4759734.903566,5,6,1,6,0,4,0,3,0,2,0,1
20210402211161,7,28558409.421397,5,4,1,5,0,4,0,3,4,2,2,1
20210402211161,17,1586578.301189,5,6,1,6,0,4,0,3,0,2,4,1
20210402211165,4,901816.492899,4,0,1,0,0,1,0,5,0,3,1,2
20210402211165,8,2705449.478696,4,0,1,3,0,1,0,5,0,3,0,2
20210402211165,11,1803632.985798,4,1,1,0,0,1,0,5,0,3,0,2
20210402211177,5,35146129.681559,3,6,2,6,4,4,0,2,0,5,2,1
20210402211177,7,3905125.520173,3,6,1,6,2,4,0,2,0,5,2,1
20210402211177,10,21087677.808935,3,6,1,6,0,4,0,2,0,5,3,1
20210402211202,3,4226624.442075,1,5,1,4,0,2,0,5,3,4,5,3
20210402211202,11,7748811.477137,1,4,2,3,0,2,0,5,3,4,5,3
20210402211202,24,12679873.326225,1,3,2,2,0,2,0,5,4,4,5,3
20210402211219,13,2066107.299584,4,6,2,5,0,5,0,2,1,3,2,1
20210402211219,16,24793287.595007,4,5,2,6,0,5,1,2,0,3,5,1
20210402211219,18,4132214.599168,4,6,2,6,0,5,0,2,0,3,4,1
20210402211254,6,7792553.564280,5,3,1,2,0,2,0,4,2,3,4,1
20210402211254,10,1298758.927380,5,3,1,5,2,2,0,4,3,3,4,1
20210402211254,14,7792553.564280,5,3,1,4,3,2,0,4,2,3,5,1
20210402211286,5,22788171.568788,4,5,1,4,0,1,0,2,1,5,1,3
20210402211286,6,2798547.385641,4,5,1,5,0,1,0,2,0,5,0,3
20210402211286,11,799584.967326,4,4,2,3,0,1,0,2,1,5,2,3
20210402211289,1,4427965.102927,1,6,1,5,0,4,0,3,0,5,5,2
20210402211289,5,1475988.367642,1,6,1,6,0,4,0,3,4,5,4,2
20210402211289,7,245998.061274,1,6,1,5,0,4,0,3,0,5,3,2
20210402211300,6,4133008.208634,1,4,2,2,1,5,0,4,5,3,2,2
20210402211300,24,4133008.208634,1,4,1,6,0,5,0,4,3,3,5,2
20210402211300,29,6199512.312951,1,3,2,2,1,5,0,4,2,3,5,2
20210402211378,1,13335539.455484,3,5,1,2,0,2,0,4,0,1,5,5
20210402211378,3,8890359.636989,3,5,1,6,0,2,0,4,0,1,4,5
20210402211378,4,8890359.636989,3,6,1,6,0,2,0,4,0,1,4,5
20210402211396,2,5408248.460871,2,2,2,6,0,3,0,5,0,4,2,1
20210402211396,3,1802749.486957,2,3,1,6,0,3,0,5,0,4,2,1
20210402211396,18,10816496.921741,2,6,1,6,0,3,0,5,0,4,4,1
20210402211413,2,3538142.526814,3,4,1,6,5,2,4,4,6,5,6,1
20210402211413,5,589690.421136,3,2,1,6,4,2,5,4,6,5,5,1
20210402211413,14,1769071.263407,3,0,2,6,0,2,0,4,0,5,5,1
20210402211424,13,4055018.565264,1,6,2,6,0,2,0,3,0,4,0,5
20210402211424,16,2027509.282632,1,6,2,6,0,2,0,3,0,4,0,5
20210402211424,21,24330111.391586,1,6,2,6,0,2,0,3,0,4,0,5
20210402211437,3,2050076.935152,4,6,2,6,0,2,0,5,0,1,0,3
20210402211437,4,683358.978384,4,6,2,2,0,2,0,5,0,1,0,3
20210402211437,6,683358.978384,4,6,2,6,0,2,0,5,0,1,0,3
20210402211458,3,4596362.344907,4,6,2,6,0,1,0,5,0,3,0,2
20210402211458,10,766060.390818,4,6,2,6,0,1,0,5,0,3,0,2
20210402211458,12,9192724.689813,4,6,2,6,0,1,0,5,0,3,0,2
20210402211495,5,2866666.464814,3,4,1,4,0,5,0,2,3,4,3,1
20210402211495,15,7644443.906170,3,4,2,4,0,5,0,2,1,4,4,1
20210402211495,16,2866666.464814,3,4,1,5,0,5,0,2,2,4,4,1
20210402211556,4,6085586.956398,3,5,2,5,6,5,5,1,5,4,5,2
20210402211556,7,21299554.347394,3,6,1,6,4,5,4,1,5,4,6,2
20210402211556,8,3042793.478199,3,6,1,0,0,5,5,1,6,4,5,2
20210402211609,4,22698421.166176,5,2,2,6,0,1,0,2,5,4,2,3
20210402211609,7,1945578.957101,5,4,2,4,0,1,0,2,4,4,1,3
20210402211609,8,36966000.184916,5,3,1,2,0,1,0,2,5,4,5,3
20210402211689,3,106170.188366,3,6,2,6,0,5,0,1,0,4,0,2
20210402211689,5,13802124.487573,3,6,1,6,0,5,0,1,0,4,0,2
20210402211689,7,424680.753464,3,6,2,6,0,5,0,1,0,4,3,2
20210402211702,3,49611938.436615,3,5,1,6,2,5,0,1,4,2,2,4
20210402211702,6,18040704.886042,3,6,1,6,4,5,0,1,0,2,4,4
20210402211702,8,9020352.443021,3,6,2,6,4,5,0,1,0,2,6,4
20210402211719,10,9317244.989161,1,1,2,3,3,3,4,5,4,2,4,4
20210402211719,11,6211496.659440,1,1,1,2,3,3,3,5,1,2,4,4
20210402211719,20,4140997.772960,1,3,2,1,3,3,2,5,3,2,4,4
20210402211823,10,4211675.561947,4,5,1,4,0,1,0,5,2,3,0,2
20210402211823,17,4211675.561947,4,5,1,2,1,1,0,5,0,3,3,2
20210402211823,26,67386808.991148,4,3,1,5,0,1,0,5,1,3,4,2
20210402211881,8,4153840.400549,2,5,2,0,0,5,0,3,0,1,1,4
20210402211881,11,8307680.801098,2,5,2,6,0,5,0,3,0,1,0,4
20210402211881,13,230768.911142,2,5,2,5,0,5,0,3,0,1,0,4
20210402211945,3,1027115.923291,5,6,1,5,0,3,0,4,0,1,3,2
20210402211945,19,2054231.846581,5,5,1,5,0,3,0,4,0,1,0,2
20210402211945,27,1027115.923291,5,5,1,5,0,3,0,4,0,1,1,2
20210402211970,6,3942100.787344,3,5,2,5,2,2,1,5,1,1,2,4
20210402211970,11,5913151.181017,3,4,1,0,4,2,0,5,2,1,2,4
20210402211970,24,5913151.181017,3,0,1,1,0,2,1,5,0,1,1,4
20210402211973,14,1635201.238879,2,6,2,4,0,4,0,3,2,5,0,1
20210402211973,16,7358405.574957,2,6,1,6,0,4,0,3,0,5,0,1
20210402211973,17,19622414.866551,2,6,1,6,0,4,0,3,0,5,2,1
20210402211988,5,4393725.822078,1,4,1,4,0,4,0,2,1,5,3,3
20210402211988,9,13181177.466235,1,5,1,5,0,4,0,2,0,5,2,3
20210402211988,12,1464575.274026,1,2,1,2,0,4,0,2,0,5,2,3
20210402212015,3,7407892.402758,2,3,1,4,0,3,0,5,2,4,3,1
20210402212015,12,1646198.311724,2,4,1,3,0,3,0,5,0,4,2,1
20210402212015,14,823099.155862,2,3,1,3,0,3,0,5,3,4,0,1
20210402212071,8,22016076.301656,2,6,1,6,0,4,0,1,4,3,6,5
20210402212071,13,11008038.150828,2,4,1,6,0,4,0,1,0,3,5,5
20210402212071,15,11008038.150828,2,6,1,6,0,4,0,1,0,3,0,5
20210402212173,14,5428680.866897,1,6,2,3,0,3,0,5,0,4,3,2
20210402212173,19,542868.086690,1,5,1,6,0,3,0,5,0,4,0,2
20210402212173,26,6514417.040277,1,6,1,6,0,3,0,5,0,4,0,2
20210402212252,1,71851558.035899,4,4,1,3,0,5,0,1,2,2,2,3
20210402212252,9,119752596.726499,4,6,1,3,0,5,0,1,0,2,2,3
20210402212252,10,11975259.672650,4,4,1,3,0,5,0,1,0,2,0,3
